user_id,name,email,persona_id,persona_name
"6914018db8d9d9ea54857a42","Test User","admin@gmail.com","student_office","Sinh viên / Văn phòng cơ bản"
"68e37500fb43e827078c759c","Nguyễn Đăng Nguyển","mer1@gmail.com","casual_gamer","Sinh viên kỹ thuật / Casual Gamer"
"68e5331e5186f04dcdf2e9f6","Nguyễn Văn B","mer2@gmail.com","hardcore_gamer","Hardcore Gamer / Streamer"
"6a27ed55b6d7638a2acaa654","Đăng Nguyển Nguyễn","mer4@gmail.com","creator_designer","Designer / Video Editor / 3D Creator"
"6a7fc9164585d7fd0f495064","Phạm Viết Quân","mer3@gmail.com","developer_it","Lập trình viên / Kỹ sư CNTT"
"6a83085d4d4fb77855083406","Admin","admin@laptop.com","business_executive","Doanh nhân / Mỏng nhẹ cao cấp"
"6a833391cee036cbf121a825","Lý Thanh Huyền","lythanhhuyen311@simuser.vn","brand_loyalist_apple","Apple Fan / macOS Lover"
"6a833392cee036cbf121a827","Nguyễn Kim Châu","nguyenkimchau967@simuser.vn","budget_saver","Người dùng phổ thông / Tiết kiệm"
"6a833392cee036cbf121a829","Hồ Đức Kiên","hoduckien940@simuser.vn","student_office","Sinh viên / Văn phòng cơ bản"
"6a833392cee036cbf121a82b","Lý Tuấn Phúc","lytuanphuc824@simuser.vn","casual_gamer","Sinh viên kỹ thuật / Casual Gamer"
"6a833392cee036cbf121a82d","Dương Văn Hùng","duongvanhung115@simuser.vn","hardcore_gamer","Hardcore Gamer / Streamer"
"6a833392cee036cbf121a82f","Nguyễn Trọng Đạt","nguyentrongdat871@simuser.vn","creator_designer","Designer / Video Editor / 3D Creator"
"6a833392cee036cbf121a831","Nguyễn Đức Long","nguyenduclong427@simuser.vn","developer_it","Lập trình viên / Kỹ sư CNTT"
"6a833392cee036cbf121a833","Dương Hương Tâm","duonghuongtam574@simuser.vn","business_executive","Doanh nhân / Mỏng nhẹ cao cấp"
"6a833393cee036cbf121a835","Trần Thành Hùng","tranthanhhung319@simuser.vn","brand_loyalist_apple","Apple Fan / macOS Lover"
"6a833393cee036cbf121a837","Đỗ Phương Quỳnh","dophuongquynh682@simuser.vn","budget_saver","Người dùng phổ thông / Tiết kiệm"
"6a833393cee036cbf121a839","Đặng Hương Hà","danghuongha735@simuser.vn","student_office","Sinh viên / Văn phòng cơ bản"
"6a833393cee036cbf121a83b","Dương Đức Huy","duongduchuy725@simuser.vn","casual_gamer","Sinh viên kỹ thuật / Casual Gamer"
"6a833393cee036cbf121a83d","Đỗ Tuấn Tùng","dotuantung360@simuser.vn","hardcore_gamer","Hardcore Gamer / Streamer"
"6a833393cee036cbf121a83f","Trần Phương Linh","tranphuonglinh454@simuser.vn","creator_designer","Designer / Video Editor / 3D Creator"
"6a833393cee036cbf121a841","Hoàng Ánh Vy","hoanganhvy659@simuser.vn","developer_it","Lập trình viên / Kỹ sư CNTT"
"6a833393cee036cbf121a843","Vũ Văn Hiếu","vuvanhieu476@simuser.vn","business_executive","Doanh nhân / Mỏng nhẹ cao cấp"
"6a833394cee036cbf121a845","Lý Quốc Dũng","lyquocdung303@simuser.vn","brand_loyalist_apple","Apple Fan / macOS Lover"
"6a833394cee036cbf121a847","Hồ Quốc Tùng","hoquoctung899@simuser.vn","budget_saver","Người dùng phổ thông / Tiết kiệm"
"6a833394cee036cbf121a849","Hồ Thùy Quỳnh","hothuyquynh334@simuser.vn","student_office","Sinh viên / Văn phòng cơ bản"
"6a833394cee036cbf121a84b","Dương Văn Long","duongvanlong603@simuser.vn","casual_gamer","Sinh viên kỹ thuật / Casual Gamer"
"6a833394cee036cbf121a84d","Nguyễn Ngọc Thảo","nguyenngocthao425@simuser.vn","hardcore_gamer","Hardcore Gamer / Streamer"
"6a833394cee036cbf121a84f","Bùi Tuấn Dũng","buituandung103@simuser.vn","creator_designer","Designer / Video Editor / 3D Creator"
"6a833394cee036cbf121a851","Võ Hương Yến","vohuongyen104@simuser.vn","developer_it","Lập trình viên / Kỹ sư CNTT"
"6a833395cee036cbf121a853","Nguyễn Minh Tùng","nguyenminhtung929@simuser.vn","business_executive","Doanh nhân / Mỏng nhẹ cao cấp"
"6a833395cee036cbf121a855","Võ Phương Anh","vophuonganh464@simuser.vn","brand_loyalist_apple","Apple Fan / macOS Lover"
"6a833395cee036cbf121a857","Bùi Trọng Kiên","buitrongkien661@simuser.vn","budget_saver","Người dùng phổ thông / Tiết kiệm"
"6a833395cee036cbf121a859","Huỳnh Văn Huy","huynhvanhuy503@simuser.vn","student_office","Sinh viên / Văn phòng cơ bản"
"6a833395cee036cbf121a85b","Hoàng Trọng Lâm","hoangtronglam142@simuser.vn","casual_gamer","Sinh viên kỹ thuật / Casual Gamer"
"6a833395cee036cbf121a85d","Trần Hải Hiếu","tranhaihieu780@simuser.vn","hardcore_gamer","Hardcore Gamer / Streamer"
"6a833395cee036cbf121a85f","Võ Hương Hoa","vohuonghoa512@simuser.vn","creator_designer","Designer / Video Editor / 3D Creator"
"6a833396cee036cbf121a861","Lý Hoàng Bảo","lyhoangbao475@simuser.vn","developer_it","Lập trình viên / Kỹ sư CNTT"
"6a833396cee036cbf121a863","Vũ Anh Hùng","vuanhhung672@simuser.vn","business_executive","Doanh nhân / Mỏng nhẹ cao cấp"
"6a833396cee036cbf121a865","Bùi Ánh Quỳnh","buianhquynh134@simuser.vn","brand_loyalist_apple","Apple Fan / macOS Lover"
"6a833396cee036cbf121a867","Lý Tuấn Kiên","lytuankien612@simuser.vn","budget_saver","Người dùng phổ thông / Tiết kiệm"
"6a833396cee036cbf121a869","Phan Kim Châu","phankimchau316@simuser.vn","student_office","Sinh viên / Văn phòng cơ bản"
"6a833396cee036cbf121a86b","Đỗ Thành Sơn","dothanhson320@simuser.vn","casual_gamer","Sinh viên kỹ thuật / Casual Gamer"
"6a833396cee036cbf121a86d","Phan Hải Hiếu","phanhaihieu352@simuser.vn","hardcore_gamer","Hardcore Gamer / Streamer"
"6a833396cee036cbf121a86f","Nguyễn Mỹ Vy","nguyenmyvy768@simuser.vn","creator_designer","Designer / Video Editor / 3D Creator"
"6a833397cee036cbf121a871","Vũ Đức Phúc","vuducphuc898@simuser.vn","developer_it","Lập trình viên / Kỹ sư CNTT"
"6a833397cee036cbf121a873","Vũ Thị Yến","vuthiyen214@simuser.vn","business_executive","Doanh nhân / Mỏng nhẹ cao cấp"
"6a833397cee036cbf121a875","Vũ Văn Hiếu","vuvanhieu516@simuser.vn","brand_loyalist_apple","Apple Fan / macOS Lover"
"6a833397cee036cbf121a877","Vũ Mai Mai","vumaimai330@simuser.vn","budget_saver","Người dùng phổ thông / Tiết kiệm"
"6a833397cee036cbf121a879","Ngô Anh Sơn","ngoanhson327@simuser.vn","student_office","Sinh viên / Văn phòng cơ bản"
"6a833397cee036cbf121a87b","Hoàng Đức Tùng","hoangductung355@simuser.vn","casual_gamer","Sinh viên kỹ thuật / Casual Gamer"
"6a833397cee036cbf121a87d","Dương Thùy Huyền","duongthuyhuyen822@simuser.vn","hardcore_gamer","Hardcore Gamer / Streamer"
"6a833398cee036cbf121a87f","Bùi Thùy Yến","buithuyyen846@simuser.vn","creator_designer","Designer / Video Editor / 3D Creator"
